name,assess,Importance,numInfobox,InfoboxValues,InfoboxImages,numTemplates,numWpEdits,wpmShare,translated,codes,repLinks,numRecSections,HAuthority,HCompleteness,HInformativeness,HConsistency,Authority,Completeness,Complexity,Informativeness,Consistency
Cannabis,C,High,0,0,0,8,37,0.006535947712418,0,0,51,4,2700.5,11808.8,13.7802641502345,3633.51241830065,2715.3,7928.8,11.35,13.1402641502345,3633.61595124536
Cannabis (drug),B,Mid,0,0,0,7,234,0.014276998169616,0,0,127,12,7450.2,22324.2,11.6491697035465,3039.02712629652,7472.8,10684.2,8.9,11.0891697035465,3039.08599145821
Carbon monoxide poisoning,GA,High,2,21,1,4,128,0.079306071871128,1,4,140,9,1012.1,35763.2,29.1822143984917,3213.65068153655,792.1,7633.2,9.95,6.86221439849167,3213.60557620818
Cardiac arrest,C,High,1,14,1,2,412,0.203256043413912,1,4,127,9,1219.7,34568.4,20.8250587810056,3513.88618648249,993.9,6438.4,7.7,5.66505878100557,3513.66132215096
Cardiac cycle,C,High,1,12,1,2,44,0.057068741893645,0,0,0,1,395.1,4423,19.0257907511506,2940.6084306096,397.1,3453,-4,5.8657907511506,2940.55992217899
Cardiomyopathy,B,High,2,16,1,3,174,0.21142162818955,1,5,52,5,609.8,30402,20.7812517589653,3563.90170109356,395.6,1302,-3.65,3.54125175896532,3563.59331713244
Cardiopulmonary resuscitation,B,High,1,8,1,6,206,0.073888091822095,0,0,126,7,1391.1,15678,17.2248066551357,3500.64038737446,1387.7,8888,5.4,7.74480665513572,3500.60566714491
Cardiovascular disease,B,Top,1,9,1,4,410,0.13290113452188,1,4,233,7,1830.7,33874,14.7805837087381,3207.75251215559,1585.1,7684,-0.25,4.46058370873813,3207.63750405186
Carl Jung,B,Low,0,0,0,0,13,0.002308238636364,0,0,10,0,2635.3,15979.6,8.63119666570506,3637.50438565341,2662.3,15979.6,7.8,8.63119666570506,3637.55699573864
Carpal tunnel syndrome,B,High,2,19,1,4,190,0.061034371988436,1,7,91,8,1747.6,48028,25.0494448289276,3525.11596530678,1534.2,6318,9.25,4.72944482892765,3525.08095085127
Cataract,B,Top,2,20,1,5,223,0.094053142134121,1,7,83,11,1366.6,49632.8,33.352088803421,3474.67870097005,1154.4,5012.8,7.15,11.952088803421,3474.60021088148
Catatonia,C,Mid,1,5,1,3,14,0.017676767676768,0,3,105,4,471.9,22145.8,8.48398786770816,3679.53358585859,439.9,3715.8,-6.4,2.24398786770816,3679.57424242424
Cefalexin,B,Mid,0,0,0,10,145,0.219364599092284,1,0,17,7,518.7,8139.2,3.17279051004058,3070.91679273828,321.3,1349.2,6.8,2.37279051004058,3070.68971255673
Céline Gounder,C,Low,0,0,0,0,54,0.184300341296928,0,0,2,0,123.5,900.6,0.715964262295842,679.850170648464,129.9,900.6,4.45,0.715964262295842,679.626962457338
Cellulitis,B,Mid,1,14,1,4,138,0.121372031662269,1,6,39,7,804.6,38513,16.7071173271804,3157.23060686016,597.6,2623,4,1.38711732718041,3157.12928759894
Centers for Disease Control and Prevention,C,High,0,0,0,0,42,0.024734982332156,0,0,83,1,836.4,7863.8,8.9032428796254,3644.54699646643,819.8,6893.8,1.6,8.9032428796254,3644.59151943463
Cerebral edema,C,Mid,2,11,1,4,16,0.032,0,4,106,7,313,33797.8,13.0944673532165,3259.5608,282.6,7607.8,-2.6,0.774467353216531,3259.572
Cerebral palsy,B,High,1,13,1,5,426,0.077145961608113,1,7,156,10,2964.7,55566.2,18.5605222619298,3728.64657732706,2762.5,11916.2,9.85,4.16052226192977,3728.62060847519
Cervical cancer,B,Top,2,25,1,6,287,0.129221071589374,1,7,144,9,1283.8,49331.4,37.5522285796211,3534.74552003602,1061.2,6651.4,5.65,11.0722285796212,3534.62994146781
Cetirizine,C,Mid,0,0,0,11,25,0.031685678073511,1,0,28,7,596.6,8918.6,4.64505524998487,3117.56020278834,394.6,2128.6,10.5,3.76505524998487,3117.58669201521
Chemical castration,C,Low,0,0,0,0,5,0.005773672055427,0,0,15,0,421.5,3974.6,0.17742873643268,3238.51096997691,432.7,3974.6,-3.9,0.17742873643268,3238.54988452656
Chemotherapy,B,High,1,4,1,2,136,0.054794520547945,0,0,188,7,1307,21422.4,14.0899423753672,3627.60410958904,1279.2,14632.4,4.7,8.92994237536722,3627.62763900081
Chickenpox,B,High,1,12,1,7,177,0.031709064851308,1,5,75,11,3150,39412,17.9764602899933,3703.56024722322,2941,4492,11.3,4.41646028999326,3703.59663203153
Chilblains,Start,Low,2,12,1,5,17,0.038116591928251,0,5,16,3,239.6,28173.6,15.3297959229508,3204.57242152466,237.6,1013.6,6.35,1.92979592295081,3204.58206278027
Child abuse,C,High,0,0,0,1,31,0.004226888464685,0,0,150,5,3733.4,21884.4,7.22996877476125,3530.00803108808,3754.6,17034.4,4.3,7.14996877476125,3530.11592582492
Childbirth,B,Top,2,12,1,5,258,0.060478199718706,1,1,141,5,2205.4,23522.2,27.7749170534857,3480.11490857947,1986,13822.2,2.3,14.3749170534857,3480.10239099859
Chlamydia,B,High,1,15,1,2,153,0.094211822660099,0,5,74,6,879.5,32947,20.5474853452219,3633.17900246305,860.1,2877,9.85,4.38748534522189,3633.13337438424
Chlordiazepoxide,Start,Mid,0,0,0,9,21,0.032457496136012,0,0,38,10,297.9,12770.8,3.09519719024994,3112.56166924266,291.9,3070.8,-2.55,2.37519719024994,3112.55656877898
Chloroform,B,Low,0,0,0,13,12,0.006312467122567,0,0,37,4,981.3,8549.8,4.82760673714132,3480.51199368753,985.9,4669.8,9.15,3.78760673714132,3480.59815886376
Cholera,B,High,1,16,1,3,426,0.082096743110426,1,6,120,10,2836.9,49102,29.4667105302534,3578.65598381191,2622.9,10302,9.25,12.2267105302534,3578.60776642898
Cholesterol,B,High,0,0,0,10,54,0.015579919215234,0,0,95,2,1746.6,9321.8,15.4399549943148,3658.52960184651,1732,7381.8,7.1,14.6399549943148,3658.61096364686
Chris Whitty,C,Low,0,0,0,2,58,0.107407407407407,0,0,8,0,259.8,2039.2,2.51546955624355,423.204074074074,264.2,2039.2,-1.15,2.35546955624355,423.045555555556
Christiaan Barnard,C,Low,1,14,1,2,1,0.000530785562633,0,0,14,0,907,6044.2,17.8088504678675,3633.00100849257,918.8,6044.2,-3.6,2.64885046786754,3633.11114649681
Christine Grady,Start,Low,0,0,0,0,0,0,0,0,5,0,45.8,459,0.845561306255419,283,45.4,459,-12.2,0.845561306255419,283.056470588235
Chronic fatigue syndrome,B,Mid,2,21,0,6,400,0.052239780592922,0,6,213,9,3141.4,48986,26.3751212260595,3680.59925558313,3103.2,11156,5,4.89512122605952,3680.58353140917
Chronic obstructive pulmonary disease,GA,Top,1,17,1,6,1079,0.311130334486736,1,6,221,11,1791.1,49500.2,27.2044350142761,3506.59114763552,1553.7,9730.2,12.7,8.72443501427612,3506.23079584775
Chronic traumatic encephalopathy,B,Mid,1,14,1,3,150,0.090525045262523,1,1,50,6,1007,16594.4,15.7687241578943,2738.671997586,804.6,5924.4,6.45,0.528724157894332,2738.59957754979
Ciprofloxacin,B,Mid,0,0,0,12,175,0.090392561983471,1,0,113,12,1074.6,17206.6,3.98065830715528,3646.67174586777,853.8,5566.6,-2.3,3.02065830715528,3646.59576446281
Circadian rhythm,C,High,1,6,1,1,22,0.01216141514649,0,0,158,2,931.8,9977.8,11.7994774823309,3524.52310668878,908.8,8037.8,5.1,4.71947748233085,3524.55538971808
Circumcision,GA,Low,1,9,1,4,490,0.035664895552806,1,1,120,6,5589.1,21705,18.5294754024113,3633.56776330155,5376.3,11035,5.7,8.20947540241134,3633.62660310066
Cirrhosis,C,Top,1,16,1,5,185,0.113288426209431,1,6,92,8,1044.6,43666.4,25.132044165424,3578.7152480098,823.4,6806.4,6,7.73204416542401,3578.65982853644
Citalopram,B,Mid,0,0,0,12,77,0.054804270462634,1,0,60,8,912.4,11396.8,5.93823623336005,3382.10412811388,705.2,3636.8,3.9,4.97823623336005,3382.09565836299
Cleft lip and cleft palate,B,High,2,22,1,6,137,0.066829268292683,0,6,99,8,977.8,45387.2,31.8267546774407,3346.62697560976,967.4,8527.2,13.1,8.34675467744069,3346.58575609756
Cleidocranial dysostosis,B,Low,2,21,1,4,51,0.16887417218543,1,7,17,5,358.1,40319.4,24.3622158623458,2861.82086092715,157.1,1519.4,11.9,2.04221586234579,2861.75430463576
Clindamycin,GA,Mid,0,0,0,11,91,0.130747126436782,1,0,70,6,548.3,8753.8,5.63425713069391,3179.24841954023,340.5,2933.8,2.65,4.75425713069391,3179.18448275862
Clonazepam,B,Mid,1,63,1,10,196,0.069850320741269,1,0,119,11,1543.7,15624.6,68.979201341784,3158.63271560941,1329.3,4954.6,3.3,4.17920134178406,3158.57312900927
Clonidine,B,Mid,0,0,0,14,93,0.105322763306908,1,0,68,7,651.2,9778.6,4.33141674860611,3198.20011325028,442.2,2988.6,-3.25,3.21141674860611,3198.09580973952
Clopidogrel,B,Mid,0,0,0,9,59,0.077939233817702,1,0,44,5,591.9,8335.8,3.63634613694426,3191.14808454425,388.9,3485.8,-7.15,2.91634613694426,3191.10462351387
Coagulation,B,High,1,7,1,2,69,0.056603773584906,0,0,17,3,622.3,8974.4,12.853173044929,3370.60754716981,622.1,6064.4,-3.95,4.69317304492897,3370.63683347006
Cocaine,C,High,1,65,1,17,236,0.030171311684991,1,0,85,13,3980.6,27341.6,86.7837599009238,3578.5573254922,3803.6,14731.6,7.1,19.4237599009238,3578.61160828433
Codeine,B,Mid,0,0,0,13,162,0.060022230455724,1,0,43,11,1582.2,18322.6,4.5180665509553,3601.61404223787,1390.4,7652.6,4.35,3.4780665509553,3601.60426083735
Coeliac disease,FA,High,1,16,1,5,296,0.070375653827865,1,7,196,7,2204,51368.6,23.3927537808526,3505.13371374227,1974.4,10628.6,6.5,5.99275378085256,3505.16533523538
Cognitive behavioral therapy,B,High,1,5,1,1,80,0.025756600128783,0,0,206,5,1478.6,15478.8,8.15423910347261,3637.54893754024,1450,10628.8,2,2.07423910347261,3637.5594977463
Colitis,Start,Mid,2,12,1,3,46,0.068656716417911,0,6,13,4,352.5,34224.6,16.6863226673341,3097.13044776119,351.5,1244.6,-16.4,3.44632266733412,3097.09223880597
Colonoscopy,B,High,1,7,1,4,38,0.033129904097646,0,0,46,7,580.5,12918,11.5070367103918,3292.06294681779,576.1,6128,6.5,3.1870367103918,3292.08997384481
Color blindness,C,Mid,1,11,1,4,200,0.030446034404019,1,5,49,9,3547.9,42920.8,21.2488248103467,3617.55784746537,3353.5,9940.8,6.4,8.92882481034666,3617.60449079007
Colorectal cancer,B,Top,1,13,1,5,490,0.134615384615385,0,7,193,9,1776.9,50930,20.3810781022256,3375.75576923077,1739.5,8250,8.55,5.98107810222564,3375.64571428571
Coma,B,High,2,9,0,4,39,0.02455919395466,0,4,31,8,865,32864,14.8390965040988,3712.54666246851,861.2,5704,3.65,5.51909650409883,3712.57858942065
Combined drug intoxication,C,Mid,0,0,0,1,1,0.001736111111111,0,0,3,1,275.3,3017,0.616099747603077,2651.00329861111,280.1,2047,-10.1,0.536099747603077,2651.028125
Common cold,GA,Top,1,17,1,4,752,0.136578278241918,1,6,103,9,2879.9,41783.4,23.9742060081628,3472.25949872866,2660.7,3953.4,12.25,5.65420600816284,3472.13741373048
Comorbidity,C,Mid,0,0,0,0,5,0.010224948875256,0,0,72,7,281.9,14432.6,0.191959580620591,3365.51942740286,270.3,7642.6,-0.25,0.191959580620591,3365.58957055215
Complete blood count,FA,Mid,1,9,1,4,61,0.032672737011248,0,0,78,2,746.9,14706,20.6216970042009,3345.56207820032,736.1,12766,9.55,10.3016970042009,3345.58034279593
Complex post-traumatic stress disorder,B,Mid,1,2,0,0,11,0.00870253164557,0,0,50,2,552.4,8893.2,2.62908689322769,2879.51653481013,556,6953.2,-12.25,0.629086893227692,2879.56882911392
Condom,GA,High,0,0,0,3,121,0.022942737959803,1,0,64,6,2705.2,16619.8,11.281949279951,3634.54359120212,2526,10799.8,8.45,11.041949279951,3634.66427758817
Conjoined twins,C,Mid,2,10,1,4,12,0.005407841369986,0,5,18,4,1116.1,34963.6,15.9710462648944,3470.5102748986,1125.5,6833.6,18.95,4.65104626489438,3470.57868409193
Conjunctivitis,B,High,1,12,1,3,264,0.084507042253521,1,6,32,9,1896.6,41120.8,17.3152424778968,3570.16056338028,1692.6,3290.8,-0.550000000000001,4.07524247789676,3570.102368758
Consciousness,GA,Mid,0,0,0,0,5,0.001124859392576,0,0,53,1,1965.7,16306.6,8.39424405279341,3635.00213723285,1983.1,15336.6,-9.45,8.39424405279341,3635.08355455568
Constipation,C,High,2,19,1,5,205,0.111594991834513,1,6,50,10,1151.7,43114.4,23.6086460892186,3418.21203048449,947.5,4314.4,6,3.20864608921857,3418.15579749592
Coronary artery disease,B,High,1,15,1,2,315,0.152394775036284,1,5,169,7,1277.3,36149.2,21.1969981970971,3685.78955007257,1042.7,5109.2,8.55,5.03699819709715,3685.63410740203
CoronaVac,Start,Mid,1,16,1,5,0,0,0,0,11,1,137.9,5031.8,22.5848177711196,200,156.1,4061.8,-1.9,5.18481777111959,200.033613445378
Coronavirus,C,High,1,1,0,6,42,0.025225225225225,0,1,179,4,801.8,15370,12.868846451867,3381.04792792793,763,6640,10.65,11.388846451867,3381.11171171171
Coronavirus disease 2019,B,Top,2,18,1,7,1315,0.212062570553137,0,1,409,9,2435.2,26782.4,36.7721754871242,301.902918884051,2370.6,13202.4,6.4,17.2121754871242,301.655587808418
Corticosteroid,Start,Mid,1,9,1,5,34,0.04822695035461,0,0,53,5,374.6,8461.2,14.7524254690748,3522.09163120567,364.6,3611.2,-11.95,4.35242546907484,3522.10553191489
Costochondritis,Start,Mid,2,11,1,2,163,0.397560975609756,0,2,20,4,197.9,14888.6,13.3419056582754,3017.75536585366,194.9,1308.6,-10.1,1.18190565827536,3017.02926829268
COVID-19 community quarantines in the Philippines,Start,Low,0,0,0,2,4,0.011299435028249,0,0,0,1,139.7,4949.4,4.15783900530162,270.521468926554,156.5,3979.4,0.199999999999999,3.99783900530162,270.677966101695
COVID-19 lockdown in India,B,Low,0,0,0,3,7,0.006233303650935,0,0,3,0,516.2,6404.6,7.14894786326351,277.011843276937,547.6,6404.6,12.95,6.90894786326351,277.061442564559
COVID-19 lockdowns,Start,Low,0,0,0,5,20,0.025316455696203,0,0,49,0,358.3,9093.6,46.5759657292017,277.548101265823,473.3,9093.6,2.6,46.1759657292017,277.592658227848
COVID-19 pandemic,C,Top,1,19,0,4,2764,0.117832629918574,0,0,251,7,8025.9,23672.6,50.6668270855376,317.223881996845,8084.9,16882.6,8.8,31.3468270855376,317.092134544059
COVID-19 pandemic deaths,C,Low,0,0,0,1,2,0.003802281368821,0,0,4,0,198.7,2449.4,63.4975711957787,277.007224334601,198.1,2449.4,-113.95,63.4175711957787,277.020532319392
COVID-19 pandemic in Australia,C,Low,1,19,0,3,23,0.004996741255703,0,0,9,0,1541.5,14316.2,30.5032835725337,291.009493808386,1623.7,14316.2,4.7,11.2632835725337,291.225505105366
COVID-19 pandemic in Brazil,C,Low,1,18,0,2,9,0.005421686746988,0,0,1,0,596.4,6621.8,26.6714906844584,290.510301204819,646.2,6621.8,8.8,8.51149068445841,290.535060240964
COVID-19 pandemic in California,C,Low,1,18,0,7,32,0.018454440599769,0,0,5,0,645.6,10479.8,28.8369786324078,286.53506343714,731.8,10479.8,-6,10.2769786324078,286.580968858131
COVID-19 pandemic in Canada,B,Mid,1,16,0,4,92,0.025974025974026,0,0,12,0,1224,8318.4,35.659469637968,291.049350649351,1320.8,8318.4,0.85,19.339469637968,291.100451722191
COVID-19 pandemic in Europe,C,Low,1,16,0,4,20,0.003368137420007,0,0,19,0,2124.7,9730.2,49.1394941565381,293.006399461098,2241.3,9730.2,6.05,32.8194941565381,293.02758504547
COVID-19 pandemic in Florida,C,Low,1,17,0,7,7,0.006118881118881,0,0,10,0,423,8772.4,25.4738912931401,283.511625874126,494.8,8772.4,6,7.91389129314011,283.78006993007
COVID-19 pandemic in France,B,Mid,1,17,0,5,14,0.006366530241019,0,0,7,0,868.8,10955.8,25.2729852417508,291.012096407458,929,10955.8,5.45,7.87298524175076,291.075306957708
COVID-19 pandemic in Germany,C,Low,1,12,0,2,14,0.006539000467071,0,0,2,0,764.5,20854.8,23.0728284227405,291.012424100887,847.5,20854.8,10.2,10.9128284227405,291.04147594582
COVID-19 pandemic in Hungary,C,Low,1,14,0,2,8,0.007386888273315,0,0,1,0,398.2,9929.2,37.4084309789975,287.514035087719,422.4,9929.2,12.25,23.2484309789975,287.529362880886
COVID-19 pandemic in India,B,Low,1,17,0,3,23,0.005946225439504,0,0,2,0,1271.3,7689.6,33.3047323379031,288.511297828335,1327.9,7689.6,12.35,16.0647323379031,288.550879007239
COVID-19 pandemic in Indonesia,C,Low,1,24,0,5,27,0.005163511187608,0,0,2,0,1677.7,10304.4,47.9872242883575,288.509810671256,1743.7,10304.4,1.9,23.5872242883575,288.507802639128
COVID-19 pandemic in Italy,B,Mid,1,15,0,2,30,0.007865757734662,0,0,9,1,1328.8,20753.6,34.4861783780669,293.014944939696,1419.8,19783.6,9.55,19.3261783780669,293.034766649187
COVID-19 pandemic in Japan,C,Low,1,14,0,2,37,0.019311064718163,0,0,16,0,794,15159.4,127.630400125034,293.536691022965,844.8,15159.4,-5.25,113.470400125034,293.526931106472
COVID-19 pandemic in mainland China,C,Low,1,13,0,3,32,0.018979833926453,0,0,42,0,644.6,21793.6,29.5199014033573,303.03606168446,760.8,21793.6,6.8,16.2799014033573,303.10640569395
COVID-19 pandemic in Mexico,C,Low,1,21,0,2,12,0.003758221108675,0,0,1,0,1043.4,17575.2,40.8233599335944,288.507140620107,1112.8,17575.2,9.45,19.6633599335944,288.514844973379
COVID-19 pandemic in New York (state),C,Low,1,17,1,6,21,0.007912584777694,0,0,5,0,948.2,20664.2,34.4962642098226,286.515033911078,1057.8,20664.2,0.800000000000001,16.0162642098226,286.655990957046
COVID-19 pandemic in New Zealand,C,Low,1,20,0,3,12,0.004285714285714,0,0,5,0,906.1,21498.8,28.5079499184496,288.008142857143,1062.7,21498.8,3.95,8.26794991844958,288.045857142857
COVID-19 pandemic in North Korea,Start,Mid,1,6,0,1,2,0.005797101449275,0,0,1,0,133.1,3562.8,10.9265853038393,283.011014492754,146.1,3562.8,10.15,4.84658530383931,283.071304347826
COVID-19 pandemic in Ohio,C,Low,1,19,1,6,12,0.005876591576885,0,0,2,0,668.4,9620.6,29.6521385112071,283.011165523996,727.4,9620.6,12.9,9.17213851120714,283.091087169442
COVID-19 pandemic in Ontario,B,Low,1,13,0,3,15,0.004142502071251,0,0,2,0,1205.8,10080.6,20.3189325752859,283.007870753935,1257.6,10080.6,-1.9,7.07893257528594,283.236785418393
COVID-19 pandemic in Pakistan,C,Low,1,18,0,3,3,0.001583949313622,0,0,2,0,676.8,16048.6,31.2591297741202,287.503009503696,768.6,16048.6,8.9,13.0191297741202,287.645723336853
COVID-19 pandemic in Poland,C,Low,2,15,0,4,5,0.002486325211338,0,1,10,0,721.7,12247.6,22.3515433770717,289.504724017902,754.1,7397.6,5.45,7.03154337707167,289.509845847837
COVID-19 pandemic in Russia,C,Low,1,18,0,3,14,0.005785123966942,0,0,2,3,839.3,17816.4,53.4741828896946,288.510991735537,923.3,14906.4,6.05,35.2341828896946,288.529256198347
COVID-19 pandemic in South Africa,C,Low,1,19,0,5,57,0.021002210759027,0,0,15,0,957.6,11742.2,27.9301575515611,286.539904200442,1086.8,11742.2,-0.1,8.53015755156106,286.515475313191
COVID-19 pandemic in South Korea,B,Low,1,20,1,3,26,0.016466117796074,0,0,4,0,587.9,9891.8,37.8366286492635,294.031285623813,645.3,9891.8,9.45,16.5966286492635,294.027739075364
COVID-19 pandemic in Spain,C,Low,1,14,0,3,14,0.005333333333333,0,0,7,0,921.6,10295.8,32.9589610841413,291.010133333333,1002.8,10295.8,11.55,18.7189610841413,291.072457142857
COVID-19 pandemic in Sweden,C,Low,1,17,0,3,243,0.080410324288551,0,0,9,0,1105,15684.4,33.8648932604202,290.152779616148,1171.6,15684.4,7.45,16.6248932604202,290.065519523494
COVID-19 pandemic in the Philippines,B,Low,1,20,0,4,21,0.00520059435364,0,0,5,0,1316.5,14606.4,40.9024742240957,297.009881129272,1386.5,14606.4,6.1,20.5824742240956,297.08603268945
COVID-19 pandemic in the Republic of Ireland,C,Low,1,17,0,3,15,0.002737226277372,0,0,0,0,1926,8579,31.5170452862904,288.505200729927,2012.6,8579,-3.6,14.2770452862904,288.50602189781
COVID-19 pandemic in the United Kingdom,C,Low,1,15,0,3,305,0.055093930635838,0,0,31,0,1881.3,18710.4,38.4853642882589,291.104678468208,1981.9,18710.4,3.25,23.2453642882589,291.089089595376
COVID-19 pandemic in the United States,B,Low,1,16,0,6,194,0.017174220963173,0,0,59,0,3871.6,11253,29.5206140212199,295.53263101983,3917,11253,9.55,13.0406140212199,295.583764164306
COVID-19 pandemic in Turkey,C,Low,1,19,0,3,6,0.003213711837172,0,0,3,0,627.5,4520.8,28.6920309632648,284.506106052491,634.5,4520.8,-19.2,9.45203096326481,284.637546866631
COVID-19 testing,B,High,0,0,0,4,138,0.117847993168232,0,0,124,2,507.7,13021.6,64.6035623040267,291.72391118702,557.9,11081.6,9.1,64.2835623040267,291.648078565329
COVID-19 vaccine,B,High,0,0,0,3,163,0.070685169124024,0,0,266,2,982.2,6373,18.6546515176138,285.634301821336,984.8,4433,-17.05,18.4146515176138,285.576235906331
Crack cocaine,C,High,0,0,0,1,10,0.003112356053533,0,0,16,6,1716.4,9793.6,5.04498873348592,3552.0059134765,1717,3973.6,9.55,4.96498873348592,3552.09094304388
Creutzfeldt–Jakob disease,B,High,2,26,1,4,139,0.062556255625563,1,7,90,9,1327.4,47982.8,29.0248896692049,3701.11885688569,1112.8,5302.8,8.45,1.70488966920494,3701.09315931593
Crohn's disease,GA,Mid,1,15,1,6,404,0.085088458298231,1,7,252,10,2528.2,52870.6,22.4491092800988,3505.16166807077,2287,9220.6,11.9,5.96910928009882,3505.12447346251
Croup,GA,Top,2,23,1,5,282,0.335714285714286,1,6,26,8,632.2,39161.4,26.7467461763749,3301.63785714286,428.8,2301.4,7.9,2.34674617637488,3301.23714285714
Cryonics,B,Mid,0,0,0,0,49,0.015659955257271,0,0,21,2,1380.4,5756,2.39351838463472,3647.02975391499,1388.4,3816,2.2,2.39351838463472,3647.0598274209
CT scan,C,Mid,1,9,1,4,272,0.080117820324006,0,0,115,5,1627.4,15019.4,34.5759681046531,3546.15222385862,1625.8,10169.4,5.1,24.255968104653,3546.10374079529
Cushing's syndrome,B,High,1,12,1,4,168,0.136474411047929,1,5,69,6,832.2,33740.8,15.9305190007154,3472.25930138099,615,3670.8,2.6,2.61051900071537,3472.11405361495
Cyanide,B,Mid,0,0,0,2,2,0.001056524035922,0,1,25,1,973.6,10045,3.31959000823182,3677.50200739567,975.8,4225,15.05,3.15959000823182,3677.6118858954
Cyanide poisoning,C,Mid,2,17,1,5,82,0.066289409862571,1,4,24,6,842.8,29968.4,21.2696629756965,2548.12594987874,651,4748.4,7.35,2.86966297569646,2548.08633791431
Cystic fibrosis,B,High,1,11,0,7,413,0.062443302086483,1,7,235,9,3628.2,54116.6,17.7977003257328,3630.61864227396,3385,11436.6,9.25,6.23770032573279,3630.59343816148
Cytokine,C,Low,0,0,0,3,49,0.058402860548272,0,1,49,2,439.8,9968.6,1.90056301307836,3439.11096543504,433,3178.6,2.55,1.66056301307836,3439.08581644815
Cytokine storm,C,Mid,0,0,0,0,19,0.04367816091954,0,0,67,2,244.6,3190,0.211487139166573,2954.58298850575,225.2,1250,-1.6,0.211487139166573,2954.59517241379
Dancing plague of 1518,Start,Low,0,0,0,0,4,0.005479452054795,0,0,3,0,411.8,1025.2,1.05963271395633,2400.5104109589,414.6,1025.2,8.9,1.05963271395633,2400.55917808219
Dandruff,B,High,2,18,1,2,94,0.049137480397282,1,5,22,5,1236.1,30284.4,20.8210265117622,3253.09336121275,1033.1,1184.4,10.5,1.66102651176218,3253.10130684788
Dark triad,C,Low,0,0,0,0,0,0,0,0,41,1,362.6,6844,1.49483885053996,2418,374.8,5874,-1.8,1.49483885053996,2418.10037453184
Datura,C,Mid,0,0,0,2,7,0.005882352941176,0,1,15,2,563.3,11010.2,9.65307063173773,3627.01117647059,566.7,4220.2,9.25,9.49307063173773,3627.05949579832
Daughter from California syndrome,Start,Low,0,0,0,0,1,0.052631578947368,0,0,0,0,12.9,330.8,0.292634143214309,1192.1,13.1,330.8,-18.2,0.292634143214309,1192.15789473684
DDT,B,Mid,0,0,0,8,17,0.003214218188694,0,0,103,1,2475.6,11154.8,11.1254877338578,3630.50610701456,2476.4,10184.8,6.35,10.4854877338578,3630.58961996597
Death,C,High,0,0,0,0,49,0.004856774705124,0,0,31,4,5133.3,12267.6,15.524912077443,3643.50922787194,5140.9,8387.6,4.4,15.524912077443,3643.60068391317
Deborah Birx,C,Low,0,0,0,2,1,0.002398081534772,0,0,16,0,178,2696,4.35087265750715,979.004556354916,185.8,2696,0.199999999999999,4.19087265750715,979.077697841727
Deep vein thrombosis,GA,High,2,21,1,5,199,0.061686298822071,1,6,206,12,1485,49623.6,34.2287448786608,3195.61720396776,1243.8,8883.6,10.6,11.8287448786608,3195.92703037818
Deepak Chopra,C,Low,0,0,0,0,12,0.002848326608118,0,0,15,0,1719.5,8516,4.22620599062362,3309.00541182056,1753.1,8516,4.35,4.22620599062362,3309.07946831237
Delirium tremens,B,High,2,21,1,6,82,0.066993464052288,1,6,12,5,819.8,37117.4,24.4295164207415,3337.1272875817,622,3167.4,9.25,1.94951642074153,3337.09166666667
Dementia,C,Top,1,16,1,2,507,0.140365448504983,1,6,257,6,2025.8,48426,23.1147159548187,3587.26669435216,1783.6,13506,10.5,5.95471595481872,3587.1523255814
Dementia with Lewy bodies,FA,High,2,19,1,4,161,0.061851709565886,1,3,92,10,1187.8,35721.8,24.9539280520419,3357.11751824818,970,11471.8,1.15,4.63392805204185,3357.05716480983
Denatured alcohol,C,Low,0,0,0,0,5,0.006711409395973,0,0,6,1,387.2,2209.4,0.710911683578244,3392.51275167785,388,1239.4,4.75,0.710911683578244,3392.5732885906
Dengue fever,FA,Top,1,18,1,3,712,0.187467087941022,1,6,104,12,1967.4,48464.6,30.9272762711039,3582.35618746709,1749.6,7724.6,15.05,11.6872762711039,3582.20442338073
Depersonalization-derealization disorder,C,High,2,13,1,4,61,0.046779141104295,0,3,93,9,641.3,28461.2,16.090716142387,3042.0888803681,624.1,5181.2,-1.1,1.77071614238703,3042.06349693252
Depression (mood),C,Mid,1,4,1,1,123,0.022815804117974,0,3,44,2,2631.9,20014,8.93264856673816,3141.54335002782,2623.7,3524,-0.15,3.85264856673816,3141.57935447969
Dermatitis,B,High,1,13,1,4,383,0.110247553252735,1,6,88,10,1918.8,43146.2,18.1641079158291,3523.20947035118,1711.6,4346.2,11.2,3.84410791582915,3523.12901554404
Dermatophytosis,C,Mid,1,13,1,4,81,0.160079051383399,1,6,24,9,460.7,40245.8,16.9274491305545,2961.80415019763,260.1,2415.8,9.1,2.60744913055451,2961.64940711462
Dextroamphetamine,B,Mid,0,0,0,14,226,0.100444444444444,0,0,226,8,1078.8,11054.8,7.13463454364232,3218.19084444444,1031.2,3294.8,-4.9,6.01463454364232,3218.0432
Dextromethorphan,B,Low,0,0,0,15,18,0.006957866254349,0,0,57,13,1240.7,17423,5.04001125157991,2970.51321994588,1234.7,4813,-4.6,3.84001125157991,2970.55264785466
Diabetes,B,Top,1,15,1,6,532,0.065100342633382,0,5,167,12,3924.3,44498.8,24.8534385299705,3675.623690651,3894.1,8608.8,7.2,8.37343852997051,3675.64515418502
